Product Code,Class,Product Description,Unit of Issue,Program,Category,VEN,Unit Price (BWP),Current stock 11032026,Average Monthly Consumption (2025-26) AMC,Months Of Stock,Average Monthly Consumption (2026-27 AMC,Months Of Stock.1,Qty on order, Procurement Comments
AMO002,300,"Amoxycillin 250mg Tablets F/c or Capsules, 1000's",Container,Anti-Infectives,DRUG,E,520.0545702592086,1,1800,0.0005555555555555556,1800,0.0005555555555555556,,
AMO005,300,"Amoxycillin + Clavulanic Acid (250 + 125)mg Tablets, 15's",Pack ,Anti-Infectives,DRUG,E,122.64665757162346,0,1000,0.0,1000,0.0,,
AMO007,300,"Amoxycillin + Clavulanic Acid (500 + 125)mg Tablets, 15's",Pack,Anti-Infectives,DRUG,E,23.465211459754432,1141,6300,0.1811111111111111,6300,0.1811111111111111,,
AZI002,300,"Azithromycin 500mg Tablets, 3's",Pack,Anti-Infectives,DRUG,V,16.0,0,21300,0.0,21300,0.0,,
CEF003,300,"Cefradine  250mg Capsules, 20's",Pack,Anti-Infectives,DRUG,E,30.013642564802183,0,80,0.0,80,0.0,,
CEF009,300,"Cefuroxime 500mg Tablets, 10`s",Pack,Anti-Infectives,DRUG,E,38.06275579809004,0,800,0.0,800,0.0,,
CLO008,300,"Cloxacillin 250mg Capsules, 100's",Pack,Anti-Infectives,DRUG,E,,0,4600,0.0,4600,0.0,,
COT001,300,"Co-Trimoxazole (400+80)mg Tablets, 1000's",Container,Anti-Infectives,DRUG,V,460.300136425648,36359,100,363.59,100,363.59,,
COT005,300,"Co-trimoxazole (800+160)mg Tablets, 500's",Container,Anti-Infectives,DRUG,,154.57025920873124,0,200,0.0,200,0.0,,
DAP001,300,"Dapsone 100mg Tablets, 100's",Pack,Anti-Infectives,DRUG,E,483.996,75,48,1.5625,48,1.5625,,
DOX003,300,"Doxycycline Hyclate (HCI) 100mg Tablets, 1000's",Container.,Anti-Infectives,DRUG,E,56.75306957708049,0,100,0.0,524,0.0,,
ERY003,300,"Erythromycin Stearate 250mg F/c Tablets / Capsules, 100's ",Pack,Anti-Infectives,DRUG,V,118.99109792284865,0,2000,0.0,436,0.0,,
FLU001,300,"Fluconazole 200mg Tablets, 28 - 30's",Pack,Anti-Infectives,DRUG,V,86.41467065868264,0,300,0.0,10413,0.0,,
GRI001,300,"Griseofulvin 125mg Tablets, 100's",Pack,Anti-Infectives,DRUG,E,73.44213649851632,0,500,0.0,500,0.0,,
GRI002,300,"Griseofulvin 500mg Tablets, 100's",Pack,Anti-Infectives,DRUG,E,133.01500682128238,0,1200,0.0,1200,0.0,,
MET018,300,"Metronidazole 200mg Tablets, 1000's",Container,Anti-Infectives,DRUG,E,242.15552523874487,0,840,0.0,840,0.0,,
MET053,300,"Metronidazole 400mg Tablets, 500's",Pack ,Anti-Infectives,DRUG,E,163.02864938608457,0,200,0.0,500,0.0,,
NAL001,300,"Nalidixic Acid 500mg Tablets, 100's",Pack,Anti-Infectives,DRUG,E,,1,1340,0.0007462686567164179,1350,0.0007407407407407407,,
NIT003,300,"Nitrofurantoin 50mg Tablets, 100's",Pack,Anti-Infectives,DRUG,E,61.391541609822646,7068,1300,5.436923076923077,1300,5.436923076923077,,
PEN004,300,"Penicillin Phenoxy Methyl 250mg Tablets, 1000's",Container,Anti-Infectives,DRUG,E,61.391541609822646,0,1900,0.0,1900,0.0,,
AMO001,400,"Amoxicillin+Clavulanic Acid (500+100)mg powder for Injection, 1Vial",Vial,Anti-Infectives,DRUG,E,13.096862210095496,0,2080,0.0,5000,0.0,,
AMO006,400,"Amoxycillin+Clavulanic Acid (1000+200)mg pwd for Injection, 1Vial",Vial,Anti-Infectives,DRUG,E,31.105047748976805,0,3560,0.0,10000,0.0,,
AMP001,400,"Amphotericin B 50mg Powder for Injection, 1Vial",Vial,Anti-Infectives,DRUG,V,140.92769440654843,394,400,0.985,400,0.985,,
AMP002,400,"Ampicillin 250mg powder for Injection, 1Vial",Vial,Anti-Infectives,DRUG,E,11.88,0,5000,0.0,5000,0.0,,
AMP003,400,"Ampicillin 500mg Powder for Injection, 1Vial",Vial,Anti-Infectives,DRUG,E,9.52,0,15000,0.0,20000,0.0,,
CEF001,400,"Cefotaxime 1g Powder for Injection, 10ml Vial",Vial,Anti-Infectives,DRUG,V,5.320600272851296,0,20000,0.0,35000,0.0,,
CEF002,400,"Cefotaxime 500mg Powder for Injection, 10ml Vial",Vial,Anti-Infectives,DRUG,V,4.365620736698499,0,12000,0.0,15000,0.0,,
CEF004,400,"Ceftriaxone 250mg Powder for Injection, 1Vial",Vial,Anti-Infectives,DRUG,V,3.5470668485675305,0,52000,0.0,80000,0.0,,
CEF007,400,"Cefuroxime 750mg Powder for Injection, 1Vial",Vial,Anti-Infectives,DRUG,E,10.11,0,500,0.0,1500,0.0,,
CEF014,400,"Cefazolin 500mg Powder for Injection, vial",Vial,Anti-Infectives,DRUG,,0.0,0,0,0.0,500,0.0,,
CEF015,400,"Cefazolin 1gm Powder for Injection, vial",Vial,Anti-Infectives,DRUG,,42.0,0,1000,0.0,1000,0.0,,
CLI001,400,"Clindamycin 150mg/ml Injection, 4ml  Ampoule",Ampoule,Anti-Infectives,DRUG,V,23.854790419161677,0,350,0.0,350,0.0,,
CLO009,400,Cloxacillin 250mg Powder for Injection 1Vial,Vial,Anti-Infectives,DRUG,E,8.072604790419161,0,1800,0.0,8300,0.0,,
COT004,400,"Co-trimoxazole (80+16)mg/ml for IV Infusion, 5ml Ampoule",Ampoule,Anti-Infectives,DRUG,E,23.192360163710777,36,600,0.06,600,0.06,,
GEN002,400,"Gentamycin 10mg/ml Injection, 2ml Ampoule",Ampoule,Anti-Infectives,DRUG,V,7.5149700598802385,0,1500,0.0,1500,0.0,,
GEN003,400,"Gentamycin 40mg/ml Injection, 2ml Ampoule",Ampoule,Anti-Infectives,DRUG,V,6.00624,119254,10000,11.9254,10000,11.9254,,
MET021,400,"Metronidazole 5mg/ml infusion, 100ml bag",Bag/Bottles,Anti-Infectives,DRUG,V,12.414733969986358,0,17560,0.0,25000,0.0,,
PEN003,400,"Penicillin Benzyl 5M (3g)Powder For Injection, 1vial",Vial,Anti-Infectives,DRUG,E,15.79,3030,400,7.575,400,7.575,,
PEN006,400,"Penicillin  Procaine 3g Powder For Injection, 1vial",Vial,Anti-Infectives,DRUG,E,19.78,1283,100,12.83,100,12.83,,
PEN007,400,"Penicillin Benzathine 2.4M(1.44g)Powder For Injection, 1vial",Vial,Anti-Infectives,DRUG,E,7.503410641200546,0,7500,0.0,10000,0.0,,
VAN001,400,"Vancomycin 500mg powder for Injection, 1Vial",Vial,Anti-Infectives,DRUG,V,117.45599999999999,0,2000,0.0,2000,0.0,,
ACY003,600,"Acyclovir 250mg Injection,1ml Ampoule",Ampoule,Anti-Infectives,DRUG,E,1140.0,0,150,0.0,150,0.0,,
ACY004,600,"Acyclovir 5% Cream, 10g Tube",Tube,Anti-Infectives,DRUG,E,52.251023192360165,0,75,0.0,75,0.0,,
AMA001,600,"Amantadine 100 mg Capsules, 56-60's",Pack,Anti-Infectives,DRUG,,212.2244634,0,5,0.0,5,0.0,,
AMI014,600,"Amikacin 500mg/ml Injection, 2ml Vial",Vial,Anti-Infectives,DRUG,V,4.859504132231405,0,20,0.0,20,0.0,,
AZI001,600,"Azithromycin 200mg/5ml, Suspension, 30ml",Bottle,Anti-Infectives,DRUG,E,96.45293315143246,0,250,0.0,250,0.0,,
CEF010,600,"Cefpodoxime 40mg/5ml Suspension, 100ml",Bottle,Anti-Infectives,DRUG,E,30.695770804911323,0,340,0.0,340,0.0,,
CEF012,600,"Cefpodoxime 100mg Tablets, 100's",Pack,Anti-Infectives,DRUG,E,75.03410641200546,0,900,0.0,900,0.0,,
CIP001,600,"Ciprofloxacin 250 mg Tablets / Capsules, 10's",Pack ,Anti-Infectives,DRUG,V,9.221556886227544,0,200,0.0,200,0.0,,
CIP002,600,"Ciprofloxacin 2mg/ml Infusion, 100ml",Bottle,Anti-Infectives,DRUG,,270.0,0,170,0.0,170,0.0,,
CIP003,600,"Ciprofloxacin 250mg/5ml Suspension, 100ml",Bottle,Anti-Infectives,DRUG,,235.0,0,200,0.0,200,0.0,,
CLA004,600,"Clarithromycin 500mg Tablets, 14's",Pack,Anti-Infectives,DRUG,E,80.0,0,140,0.0,140,0.0,,
CLI005,600,"Clindamycin 150mg Tablets, 100's",pack,Anti-Infectives,DRUG,V,133.23353293413172,0,70,0.0,70,0.0,,
FLU003,600,"Fluconazole 2mg/ml IV Infusion, 100ml",Bottle,Anti-Infectives,DRUG,V,59.232,0,120,0.0,120,0.0,,
FLU005,600,"Fluconazole 50mg/5ml Oral Suspension, 35ml",Bottle,Anti-Infectives,DRUG,E,164.82644628099172,0,50,0.0,50,0.0,,
ITR001,600,"Itraconazole 100mg Capsules, 60's",Pack,Anti-Infectives,DRUG,,61.527967257844466,2627,164,16.01829268292683,160,16.41875,,
MER005,600,"Meropenem 500mg/vial Injection, 1Vial",Vial,Anti-Infectives,DRUG,E,42.40269461077844,0,900,0.0,900,0.0,,
MER006,600,"Meropenem 1000mg/vial Injection, 1Vial",Vial,Anti-Infectives,DRUG,E,61.377245508982035,0,1140,0.0,1140,0.0,,
PIP029,600,"Piperacillin 4.5g + Tazobactum 500mg powder for Injection, 1Vial",Vial,Anti-Infectives,DRUG,V,438.132,120,1200,0.1,1200,0.1,,
TER004,600,"Terbinafine 250mg Tablets, 14's",Pack,Anti-Infectives,DRUG,,224.87275449101796,139,5,27.8,5,27.8,,
VAL007,600,"Valganciclovir 450mg Tablets, 60's",Pack,Anti-Infectives,DRUG,V,2800.0,0,12,0.0,12,0.0,,
KET003,300RFD,"Ketoconazole 200mg Tablets, 30's",Pack,Anti-Infectives,DRUG,E-RFD,88.67667121418826,0,20,0.0,100,0.0,,
ERY001,400RFD,"Erythromycin 1g powder for IV Injection, 1Vial",Vial,Anti-Infectives,DRUG,E,163.7107776261937,0,50,0.0,0,50.0,,
CAP008,600RFD,Capreomycin 1g Powder For Injection (To be deleted),Vial,Anti-Infectives,DRUG,,0.0,0,0,0.0,0,0.0,,
